track_id,title,artist_id,album_id,popularity,duration_ms,danceability,energy,acousticness,instrumentalness,liveness,track_genre
TRq54o,Gostoso Demais,elba_rAh,baião__9M0,40,234160,0.564,0.606,0.599,9.33e-05,0.275,mpb
oReVd,Hasta que salga el sol,natos_AU,luna_l_ERK,59,247000,0.903,0.476,0.00193,0.0343,0.285,spanish
TWuaS,See You Later Alligator,louisehj,a_plus_pEJ,31,176506,0.744,0.691,0.158,0.14,0.136,french
TBskU,Octopus's Garden,samuelsd,the_li_GVr,24,169040,0.475,0.65,0.113,0.0,0.12,show-tunes
Qbdho,Brillant,caballhz,high_&_5fq,34,160746,0.735,0.567,0.0242,1.3e-05,0.417,french
pYlfID,Splitting The Atom,massiv8S,heligo_BTD,44,316627,0.72,0.358,0.495,0.0354,0.186,trip-hop
9iG50,Best of You,foo_fiIC,in_you_C1W,76,255626,0.366,0.94,0.000769,9.42e-05,0.188,metal
ZQ0JWG,Poison,rita_oRv,poison_MmK,68,202906,0.579,0.738,0.0821,1.52e-06,0.232,edm
XwLO,Slinky,link_wHy,link_w_DVn,28,154041,0.374,0.502,0.171,0.768,0.141,rockabilly
bTG7,Jazzo/Lose Myself - Original Mix,octaveOn,burn_i_62j,5,402796,0.845,0.539,0.0112,0.0194,0.059,detroit-techno
C38JZ,Nasa,thiagozU,nasa_oN9,39,203544,0.601,0.926,0.0255,1.97e-06,0.129,forro
dy5oc,The Road,out_ofBu,man_ma_cx3,0,253970,0.433,0.873,5.02e-05,2.15e-05,0.0609,iranian
kave0E,Odyssey to Anyoona - Wehbba Remix,jam_&_p9,odysse_E9R,35,250909,0.516,0.925,0.00104,0.861,0.122,trance
Hsfb,I Got Werk,moodymgD,deviat_s5a,7,178903,0.756,0.781,0.0502,0.052,0.602,detroit-techno
kcF8,Glauben,dax_wogl,glaube_qIs,60,196109,0.0862,0.067,0.92,0.966,0.108,sleep
s0ypt5,The Bender,matomaoL,today'_nK6,0,184320,0.707,0.882,0.0606,0.0131,0.105,edm
VObajq,Whispering a Prayer,steve_HJ,alive__zjj,27,525626,0.155,0.3,0.648,0.719,0.938,guitar
Mo85,Sangre para el Rey,oconnoqe,el_tie_rFI,20,300133,0.608,0.747,0.000207,0.0501,0.201,heavy-metal
2TxW,I WANT TO DiE!!!!!,bisv3,anti_c_nd3,20,242826,0.471,0.966,0.0002,0.0621,0.189,j-idol
4UboX,Turandot / Act 3: Nessun dorma!,giacomNR,puccin_4IB,42,402040,0.242,0.356,0.971,0.0306,0.161,opera
Pvur0,A Vida Quis Assim,oswaldBh,de_pas_UCA,40,224614,0.664,0.36,0.806,0.0,0.107,mpb
c0e5B,Brinquedo Assassino,a_famíyw,só_as__dzx,43,382142,0.771,0.746,0.0902,0.0,0.0464,r-n-b
FRs6lf,Gandaia - Ao Vivo,art_poHc,ao_viv_L87,37,157240,0.581,0.936,0.161,0.0,0.861,samba
2R9B,The Yellow House,matt_dHJ,starry_hlF,22,210262,0.577,0.319,0.814,0.0,0.155,show-tunes
QYvR6,Wrong Side of Heaven,five_ft7,the_wr_dvE,66,271000,0.481,0.932,0.00721,0.0,0.337,metal
LTCP,Better Now,oh_wonY3,herbst_qwI,0,198342,0.569,0.364,0.75,0.00597,0.146,electro
oAWQr,Banba Oir - Remastered,clannaCX,banba_0Hk,22,206746,0.458,0.623,0.596,0.111,0.115,new-age
QOGEXu,Khamoshi,ritvizEG,dev_aaB,47,189391,0.714,0.666,0.00451,0.0001,0.42,indian
hFedJn,Donde Descansa La Esperanza,nach2E,los_vi_Gdb,27,319013,0.507,0.559,0.707,0.000853,0.326,spanish
K9j8X,Rhythm Variation 03,aoki_tLG,rv8_z0q,10,503613,0.807,0.278,0.0204,0.866,0.071,idm
7iaF4,Tankwa Town,oliverKC,the_ar_11U,50,453506,0.736,0.401,0.102,0.293,0.0938,electronic
oKq1,In A Galaxy Far Away,beat_oME,chewba_But,10,97500,0.664,0.188,0.743,0.852,0.131,study
KoDOO,Uncanny Valley,he_is_Mx,white__GKo,27,173604,0.434,0.485,0.0113,0.0101,0.311,metalcore
WqF8W,Home,zero_7Ax,when_i_zqQ,47,276693,0.497,0.459,0.324,0.0119,0.0511,trip-hop
nJZa,I fucked up,convolLr,lonewo_sA6,61,159149,0.645,0.708,0.00909,0.000356,0.115,sad
I1pg6,Paranoia,a_day_9D,bad_vi_34z,62,200676,0.409,0.992,4.82e-05,2.03e-06,0.1,metalcore
4DYuIE,Bad Boys (Theme from COPS),inner_ov,blazzi_KkI,69,229374,0.781,0.722,0.236,0.000398,0.077,reggae
vj75U,Fünffleck-Widderchen,dominifI,mannig_AE5,19,548000,0.567,0.643,0.487,0.898,0.106,minimal-techno
Suis,Good Without,mimi_wiF,good_w_p2b,69,182121,0.616,0.576,0.0723,0.0,0.375,singer-songwriter
oRZpB,Punk Superstars,gufiCp,histor_zey,38,187742,0.508,0.956,0.000782,1.97e-05,0.0991,punk-rock
cQU9,Halfway Down (with Ashley Drake),slandeU8,halfwa_mRx,51,310400,0.447,0.575,0.0296,2.82e-06,0.105,dub
w0xs,Tear Away,drownih3,sinner_Jam,63,254200,0.611,0.648,0.00055,0.0028,0.0846,grunge
WcpvtS,"Lohengrin, WWV 75: Prelude to Act I - Live",richarFl,wagner_U2L,21,559996,0.066,0.0232,0.817,0.891,0.117,opera
zVbM,El firulete - Remastered,julio_lK,varón__zOp,18,132864,0.407,0.523,0.95,2.78e-06,0.718,tango
bLESJ,Scam 1992 Theme,achintxk,scam_1_tmd,37,107758,0.443,0.634,0.00222,0.178,0.342,folk
ioPvj,Nada Es Igual,la_porzw,la_por_FcW,35,190466,0.731,0.827,0.169,1.4e-06,0.91,ska
09vGO,Come Full Circle,matt_lEq,piano__aAM,9,186000,0.583,0.745,0.411,0.833,0.153,study
BHx2,Bravery,assembyI,endure_dQJ,23,311851,0.566,0.941,0.0122,0.0019,0.0727,industrial
ecVLl,Era de Aquarius,martinbm,era_de_7Hj,44,178207,0.895,0.516,0.548,0.0,0.19,pagode
GqLItG,Burn With Me,amaranwx,the_ne_SNJ,48,240840,0.452,0.889,0.00197,0.0,0.132,goth
ufP3Vr,Gardeshon Ke Hain Marey,nusratAP,revamp_wiP,38,252004,0.667,0.631,0.00458,0.00123,0.138,folk
Ch3TT,I Can't Stand It - 4 Minute Mix,the_pr9P,the_ha_kPM,9,193396,0.664,0.847,0.00381,0.19,0.103,hardstyle
6mGL3,Tea For Two,blossoZz,jazz_r_0qA,0,204133,0.439,0.0196,0.959,2.19e-05,0.13,jazz
7AbFQL,Girlfriend,(hed)_Rl,new_wo_PMv,24,270120,0.635,0.698,0.05,2.94e-05,0.569,industrial
Motcyb,Hymn,nightcsU,hymn_XMX,37,306390,0.681,0.441,0.43,0.0636,0.117,dub
ZapS,Tie Me Down (with Elley Duhé),gryffiVa,tie_me_DOn,65,218295,0.548,0.839,0.135,0.0,0.102,edm
DzlW,Tú y las Nubes,lupillB8,el_tor_UBU,42,181021,0.676,0.597,0.143,0.00657,0.293,r-n-b
Pd84gd,Something Bout That Feeling,devin_m7,you_&__MZT,64,132688,0.69,0.397,0.064,0.0,0.0784,indie-pop
zK3J,Cigarettes & Whiskey,broilesp,loco_h_yEY,33,207680,0.397,0.901,0.264,0.0,0.217,ska
9skdWb,Addicted To Love,robertjU,fiesta_w8Q,0,359706,0.669,0.81,0.408,8.58e-06,0.0614,singer-songwriter
mHPJH,Colors,halseyBX,badlan_imV,68,249499,0.512,0.812,0.0534,0.0,0.092,electro
AFn5P2,Fake It,seetheCG,findin_HbK,75,193893,0.611,0.95,0.00141,1.59e-06,0.0543,metal
8P6B8,Amar Mawte (Female),anupamTu,hemloc_CGZ,37,330187,0.743,0.343,0.798,1.26e-05,0.1,songwriter
bprAq4,"Someone's Waiting For You (from ""The Rescuers"")",the_slQQ,someon_x53,20,132334,0.312,0.0435,0.953,0.942,0.108,disney
Dte4SS,Johnny Got A Boom Boom - Radio Edit,imeldaR0,mayhem_dyU,24,157320,0.733,0.886,0.0236,0.00962,0.285,rockabilly
Q7M4K,Skate,bruno_Ku,trendi_oOu,0,203122,0.708,0.598,0.037,0.0,0.17,pop
3pSpp,Fração de Segundo - Versão Acústica,nx_zeri2,fração_Wyj,36,194024,0.559,0.576,0.326,0.0,0.0998,emo
MW7On,Psalm 46 (Lord of Hosts),shane_Bb,psalms_cAO,53,302817,0.435,0.458,0.05,0.0,0.0799,world-music
NqGE8,Making Water,harry_E6,the_ma_mrJ,49,158160,0.495,0.335,0.826,0.873,0.104,british
bfcr,Shiawasenomonosashi,mariyaEO,expres_qSa,51,327146,0.7,0.814,0.18,0.0,0.105,j-idol
jwgR,"Modulating Prelude, K.284a/2",wolfgaKT,mozart_mPE,24,42586,0.534,0.15,0.984,0.2,0.248,classical
KqI6,被風吹過的夏天,金莎Wg,空氣_eOU,50,255946,0.551,0.535,0.604,0.0,0.102,mandopop
xhsf,Ulterior Motive,lucianZA,sweep__c8v,28,250826,0.619,0.743,0.0251,2.82e-06,0.116,dancehall
S4Gc2,If Yuh Ever Try - Radio Edit,navino6y,nima_d_66U,20,192130,0.57,0.875,0.038,0.0,0.111,j-dance
S7jNL,Friends (Live @ Docks 2004),scooteD5,live_-_9BK,17,282302,0.326,0.932,0.000301,0.0266,0.675,happy
SH1gi,El Capitolio,azucarjN,a_lo_c_gBa,28,224693,0.682,0.922,0.592,0.0,0.317,salsa
F1ed4,Shiheki,cr7zH9,shihek_mpr,41,226215,0.661,0.75,0.394,0.0,0.111,german
KYgF,Screwed,janellMX,the_st_IKi,0,302491,0.729,0.681,0.0442,0.000242,0.27,alternative
RL9EyV,The River,blues_ZD,dark_c_8GK,55,215699,0.554,0.437,0.0526,0.00241,0.241,blues
sVFT,Lose My Way,greens7K,handgu_OPq,23,444533,0.585,0.573,0.773,0.409,0.102,bluegrass
mGatgJ,Rat Race,disfeaw4,misant_PNb,13,157426,0.319,0.993,1.47e-06,0.151,0.405,grindcore
tRkoJ,Cê Volta ou Não,kiko_cb3,do_sun_boe,39,148689,0.669,0.894,0.013,0.0,0.0998,forro
RdlWw,Hallelujah,rufus_41,christ_g8N,0,249026,0.273,0.196,0.885,0.0,0.105,singer-songwriter
Op5uT,Pretty Fly (For A White Guy),the_ofim,alt_th_7fR,36,188480,0.723,0.902,0.0984,1.46e-06,0.0476,punk-rock
aH92,Khule Reston Pe,raghu_dF,aanand_vvJ,44,150261,0.559,0.425,0.84,0.00115,0.0972,indian
jPfv,Moments,shavi;1A,moment_5q4,44,203529,0.74,0.661,0.288,0.0,0.194,deep-house
vU7fIH,不能沒有你,andy_loN,一生一次_Lfd,20,280000,0.453,0.431,0.196,0.0,0.101,cantopop
ixNt,I'm Not Gonna Teach Your Boyfriend How to Dance with You,black_eG,partie_SsM,32,217733,0.477,0.938,0.000312,0.0,0.361,j-dance
Xx6JI,Froggie,the_prce,ii_PUr,26,190640,0.651,0.669,0.0357,0.000184,0.181,grunge
rloW,circus,pmbataOx,circus_kml,53,138707,0.719,0.621,0.358,0.0,0.144,sad
wZBc,Hunger Strike - 25th Anniversary Mix,templebA,temple_awp,62,246266,0.384,0.735,0.0252,2.76e-05,0.114,grunge
io2S,Right Now,ambna,blood__X1g,11,194026,0.816,0.701,0.126,0.0,0.29,breakbeat
0YFH7r,Music In You,sebastDr,music__nMY,54,185295,0.739,0.659,0.242,2.21e-06,0.245,deep-house
OBlbfa,Office Vibe,sless_VP,office_pYn,34,147096,0.774,0.113,0.111,0.598,0.155,study
zMCxqf,Tu Olor,wisin_wY,perreo_Z3M,0,246853,0.821,0.753,0.0148,6.13e-06,0.109,hip-hop
rG2dT,無緣的,楊宗憲mb,無緣的_iBu,24,259546,0.474,0.468,0.628,4.86e-05,0.274,mandopop
0Fp4,You Can't Hurry Love,hi-statD,vintag_Bi0,33,116000,0.597,0.985,0.00084,0.0134,0.0643,j-rock
vumEL,Ain't Nobody,chaka_oY,80's_xM8,0,245133,0.824,0.766,0.223,6.34e-05,0.116,soul
917L,Conga - Remastered,lafayety,malik_qqr,19,301617,0.705,0.83,0.0659,0.00445,0.078,afrobeat
mvEU,It Gonna Come - FKJ Remix,melodyss,lofi_&_fr6,0,224506,0.592,0.541,0.655,0.00157,0.159,jazz
4ZSO,SİS,khontkl4,si̇s_Hji,40,194000,0.906,0.582,0.0529,0.0269,0.246,turkish
jCCC,Burning With Fire,tappsK0,re-tur_2e2,33,389553,0.693,0.907,0.00106,0.084,0.0875,disco
JmBK,for the girls,hayleyVf,your_p_kpX,0,158486,0.753,0.652,0.133,0.0,0.0764,indie-pop
XCW4dh,Bizarre Love Triangle,new_orHl,commen_8mr,26,269906,0.66,0.79,0.054,0.000611,0.0957,synth-pop
YAtc23,I Just Called,neikedKj,hits_h_CBS,0,150560,0.626,0.849,0.0732,0.0,0.593,house
Ehf9A2,Ace of Spades,milkinYl,stallz_DFL,13,154466,0.369,0.963,3.74e-05,0.669,0.587,grindcore
8Q4xFD,Future - Instrumental,model_8W,no_ufo_gqh,5,313733,0.797,0.819,0.000274,0.844,0.36,detroit-techno
pqaE,Big Jet Plane - Animal Trainer Remix,jan_blf2,big_je_MVC,44,400926,0.89,0.443,0.0372,0.385,0.369,minimal-techno
MzwKz,Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),martinBN,love_r_q2f,63,164166,0.647,0.642,0.262,0.0,0.134,house
KKdNF,Thrill,frenchTM,never__ipE,62,163404,0.765,0.468,0.616,0.000206,0.095,chill
OJEUdD,Harry in Winter,patric4F,harry__tUU,55,174440,0.175,0.248,0.559,0.966,0.189,british
cKx3Z,Gold on the Ceiling,the_blWt,el_cam_h1P,70,224333,0.505,0.833,0.00772,7.9e-05,0.069,blues
fZ3VD,Metamorphosis,jack_hZO,scienc_aSu,10,129882,0.789,0.612,0.382,0.0,0.0734,kids
orTuzu,Ilzaam (From the Album 'Industry'),arjun_HZ,ilzaam_lYA,67,247374,0.697,0.66,0.472,0.0,0.243,pop
VRDBb,Cada Vez Más Pelotudos,assperpY,cada_v_1w2,22,243640,0.457,0.989,1.57e-05,5.47e-06,0.26,heavy-metal
VjaBXI,Like This - Instrumental Version,wax_tab6,the_sh_YCS,18,201997,0.76,0.51,0.024,0.709,0.345,trip-hop
z5Xu,Poison Enough for Everyone,manesXX,slow_m_muI,17,273066,0.534,0.759,0.0125,0.477,0.61,black-metal
jBVyqp,Snälla släck inte ljusen,håkan_yX,ramplj_DjV,37,355598,0.585,0.632,0.42,0.0,0.0909,swedish
R7V7,Marry Christmas,salem_5B,all_i__Ou4,0,162009,0.541,0.753,0.0677,0.0,0.108,indie
lpB39,Dhak Dhak Karne Laga,anuradLX,beta_hR7,50,320386,0.813,0.571,0.752,3.93e-06,0.0692,k-pop
2QPKm,Nomad,in_hea4b,ark_Xfe,26,254030,0.45,0.937,0.00032,0.0,0.234,metalcore
L38C6,Atrai Meu Coração (Ao Vivo),filhosRW,filhos_DXt,39,322561,0.544,0.271,0.418,7.32e-05,0.106,gospel
RZTeX,No Tomorrow (Bonus Track),rasmusYs,love_&_wZ6,55,153151,0.717,0.588,0.0859,1.06e-05,0.168,swedish
yZCw,Tu No Sabes Nada,jorge_dR,kachak_jJ1,44,193000,0.743,0.629,0.0103,0.0,0.037,folk
bwp8mT,Somebody You Loved,kid_trPE,somebo_zPG,41,145920,0.735,0.193,0.653,0.0,0.0819,chill
XzwXMI,UsedCar,surrenpN,weneve_6Jm,57,95786,0.568,0.408,0.219,0.00508,0.135,emo
mCJOM,Shots & Squats,vigilaIN,shots__edb,64,171799,0.807,0.812,0.00773,0.000501,0.236,electronic
xfIq,Santa Looked a Lot Like Daddy,travisGo,countr_bty,0,148453,0.622,0.778,0.234,0.0236,0.0978,country
rZsR,Finish Line,skille3z,victor_7OL,64,206060,0.53,0.803,0.0545,0.0,0.316,alt-rock
XrRQh,Nawa Nawa Pyaar,gippy_Ys,nawa_n_fHz,65,139756,0.811,0.757,0.142,0.0,0.183,pop
iq9tS,The Passenger,iggy_pSg,lust_f_J53,73,283360,0.498,0.889,0.0947,1.62e-06,0.733,punk-rock
Grchjy,Lalana,rahul_rr,me_vas_TfJ,32,212068,0.619,0.626,0.555,0.0,0.308,classical
kCYTS,Improvisation: Friedensengel (Angel Of Peace),david_7J,return_V2M,22,90026,0.574,0.00638,0.989,0.682,0.0828,new-age
jPyK,Sólo Quédate En Silencio,moderaqM,hallow_tyV,0,234973,0.337,0.643,0.467,1.86e-06,0.0857,alternative
KlMY6O,Velvet Morning 22 (ASOT 1090),kyau_&Ec,asot_1_gMF,41,137625,0.479,0.946,0.000548,0.261,0.136,german
AkM8N,Symphony - Original Mix,hybridtF,sympho_ib0,14,740600,0.577,0.91,0.0268,0.652,0.122,breakbeat
vl0GTS,used to,josh_gRu,used_t_thp,49,181090,0.622,0.723,0.394,0.0,0.61,sad
Xtwk,2002 - Acoustic,amber_LI,simply_l3w,57,145056,0.589,0.296,0.842,0.0,0.0736,acoustic
eqPKCE,1%,lars_feO,viking_5ta,33,166466,0.331,0.992,0.000615,0.0,0.21,ska
g31Sv,かべの人,rei_hapS,広い世界_と_w3I,11,146013,0.683,0.711,0.868,0.856,0.0874,idm
vOavx,Mere Jogi Nath,saleem8q,mere_j_mdi,23,295400,0.673,0.922,0.217,2.85e-06,0.0986,malay
ZX2V,Isla de Capri,albertdq,lo_mej_xgm,17,192666,0.511,0.12,0.951,0.0,0.367,tango
pM9ez,There Must Be an Angel (Playing with My Heart),euryth2N,boxed_Od0,25,321106,0.599,0.78,0.284,5.8e-06,0.163,synth-pop
insvrt,Eyes of the World - Live October 1989 - April 1990,gratefSL,withou_eep,28,974106,0.513,0.787,0.317,0.226,0.956,psych-rock
zUar,Crocuta Crocuta,siavasbX,a_trai_mnR,0,448000,0.171,0.427,0.302,0.896,0.115,iranian
iMJcv4,Most Wanted,ap_dhiyg,most_w_pFa,60,184090,0.85,0.573,0.0439,0.0,0.0871,hip-hop
